taxon;scientific_name;SL;SMW;femur IV;diet;habitat;foraging period;taxon_no_data
Opiliones;Discocyrtus cornutus;7.5;NA;5.5;NA;NA;NA;trait available
Opiliones;Discocyrtus rarus;6;NA;NA;NA;NA;NA;trait available
Opiliones;Gagrellinae sp.; ;NA;NA;NA;NA;NA;trait available
Opiliones;Hernandaria heloisae;4.2;4.7;6.1;NA;NA;NA;trait available
Opiliones;Jussara rosea;4.15;3.425;NA;NA;vegetation dwelling;NA;trait available
Opiliones;Megapachylus grandis;9.79;10.1;9.78;NA;NA;NA;trait available
Opiliones;Mischonyx cuspidatus;5.81;6.9;5.17;NA;NA;NA;trait available
Opiliones;Neosadocus maximus;4.71;4.59;6.7;fruit;ground dwelling;nocturnal;trait available
Opiliones;Ogloblinia calcarata;NA;NA;4.8;NA;dead wood;NA;trait available
Opiliones;Pristocnemis pustulatus;5.92;6;NA;NA;NA;NA;trait available
Opiliones;Progonyleptoidellus striatus;8;NA;12;NA;NA;NA;trait available
Opiliones;Promitobates ornatus;5;NA;12;NA;NA;NA;trait available
Opiliones;Sodreana sodreana;7.05;6.85;11.5;NA;NA;NA;trait available
Opiliones;Bebedoura sp.;NA;NA;NA;NA;NA;NA;no data
Opiliones;Gonyleptinae sp.;NA;NA;NA;NA;NA;NA;no data
Opiliones;Luederwaldtia sp.;NA;NA;NA;NA;NA;NA;no data
Opiliones;Munequita sp.;NA;NA;NA;NA;NA;NA;no data
Opiliones;Neosadocus sp.;NA;NA;NA;NA;NA;NA;no data
Opiliones;Ogloblinia sp.;NA;NA;NA;NA;NA;NA;no data
Opiliones;Pachylinae sp.;NA;NA;NA;NA;NA;NA;no data
Opiliones;Pseudogyndesoides sp. 1;NA;NA;NA;NA;NA;NA;no data
Opiliones;Pseudogyndesoides sp. 2;NA;NA;NA;NA;NA;NA;no data
Opiliones;Singram sp.;NA;NA;NA;NA;NA;NA;no data
Opiliones;Tricommatinae sp.;NA;NA;NA;NA;NA;NA;no data
